track_id,track_name,artist_name,album_name,release_date,genre,duration_ms,popularity,danceability,energy,loudness,mode,tempo,stream_count,country,explicit,label
SP0016,The Track 16,The Weeknd,The Album 8,2021-04-18,R&B,156747,87,0.58,0.7,-4.13,0,136,3480429115,UK,0,XO
SP0017,Metro Track 17,Metro Boomin,Metro Album 4,2018-02-25,Hip-Hop,163597,86,0.72,0.56,-8.39,0,101,1637677155,USA,1,Boominati
SP0018,Kendrick Track 18,Kendrick Lamar,Kendrick Album 8,2025-05-14,Hip-Hop,160579,72,0.63,0.96,-6.79,0,120,255522987,USA,1,Interscope
SP0019,Metro Track 19,Metro Boomin,Metro Album 2,2020-01-17,Hip-Hop,168712,64,0.77,0.81,-9.88,0,152,1067486868,USA,0,Boominati
SP0020,SZA Track 20,SZA,SZA Album 6,2023-05-07,R&B,182570,76,0.68,0.81,-9.3,1,89,50009587,Australia,0,Top Dawg
SP0021,Taylor Track 21,Taylor Swift,Taylor Album 3,2021-09-09,Pop,211490,64,0.9,0.65,-10.58,1,158,3476467857,USA,1,Republic Records
SP0022,Taylor Track 22,Taylor Swift,Taylor Album 2,2020-05-04,Pop,265024,69,0.62,0.77,-5.54,0,167,2734031273,Brazil,1,Republic Records
SP0023,Kendrick Track 23,Kendrick Lamar,Kendrick Album 7,2018-02-21,Hip-Hop,192530,62,0.5,0.86,-6.27,1,100,3193562527,Australia,1,Interscope
SP0024,Metro Track 24,Metro Boomin,Metro Album 3,2018-02-03,Hip-Hop,263023,62,0.88,0.76,-10.67,0,85,1333959527,Germany,0,Boominati
SP0025,Bad Track 25,Bad Bunny,Bad Album 2,2021-11-08,Latin,212714,95,0.9,0.67,-6.41,0,110,3723453204,India,0,Rimas
SP0026,SZA Track 26,SZA,SZA Album 6,2018-03-24,R&B,227928,75,0.62,0.87,-11.03,0,140,965345537,Canada,1,Top Dawg
SP0027,Bad Track 27,Bad Bunny,Bad Album 1,2022-04-08,Latin,293023,72,0.68,0.6,-11.38,1,124,2765143093,Japan,1,Rimas
SP0028,Drake Track 28,Drake,Drake Album 5,2019-05-06,Hip-Hop,130028,66,0.77,0.63,-4.92,1,157,2206545325,UK,1,OVO Sound
SP0029,21 Track 29,21 Savage,21 Album 7,2021-05-02,Hip-Hop,120443,93,0.92,0.74,-5.53,0,126,1862408227,UK,1,Epic Records
SP0030,21 Track 30,21 Savage,21 Album 2,2023-11-28,Hip-Hop,198727,92,0.64,0.67,-8.38,1,150,556696950,Canada,1,Epic Records
SP0031,SZA Track 31,SZA,SZA Album 5,2020-10-19,R&B,226450,95,0.88,0.61,-10.11,1,139,1907456484,Australia,0,Top Dawg
SP0032,Metro Track 32,Metro Boomin,Metro Album 2,2025-12-06,Hip-Hop,194392,92,0.8,0.78,-11.16,0,166,1343241445,Canada,0,Boominati
SP0033,Travis Track 33,Travis Scott,Travis Album 8,2018-01-08,Hip-Hop,280241,64,0.7,0.92,-6.82,1,143,1726495971,Canada,0,Epic Records
SP0034,Drake Track 34,Drake,Drake Album 3,2019-07-08,Hip-Hop,255779,89,0.52,0.58,-4.36,1,97,3452058095,Australia,1,OVO Sound
SP0035,Post Track 35,Post Malone,Post Album 3,2024-09-15,Pop,244433,88,0.62,0.58,-6.26,1,160,1037553177,Brazil,1,Republic Records
SP0036,Taylor Track 36,Taylor Swift,Taylor Album 6,2022-04-09,Pop,203809,94,0.54,0.53,-8.55,0,170,928920620,UK,1,Republic Records
SP0037,SZA Track 37,SZA,SZA Album 7,2023-09-15,R&B,136322,73,0.87,0.66,-5.07,0,153,1643724084,Australia,0,Top Dawg
SP0038,Bad Track 38,Bad Bunny,Bad Album 7,2022-07-28,Latin,261091,94,0.86,0.93,-7.61,1,135,2095816511,USA,1,Rimas
SP0039,Bad Track 39,Bad Bunny,Bad Album 8,2024-12-06,Latin,153456,99,0.74,0.93,-6.67,0,90,2770588734,Japan,0,Rimas
SP0040,Post Track 40,Post Malone,Post Album 7,2020-01-09,Pop,205813,73,0.7,0.63,-4.08,1,133,1093497965,UK,1,Republic Records
SP0041,Drake Track 41,Drake,Drake Album 2,2018-06-08,Hip-Hop,290853,62,0.84,0.95,-10.21,0,159,664477195,Canada,0,OVO Sound
SP0042,Post Track 42,Post Malone,Post Album 8,2019-10-07,Pop,187172,83,0.58,0.77,-5.27,0,100,1345901990,UK,0,Republic Records
SP0043,Kendrick Track 43,Kendrick Lamar,Kendrick Album 4,2024-07-23,Hip-Hop,139922,97,0.81,0.78,-11.08,1,167,2588748240,UK,0,Interscope
SP0044,Bad Track 44,Bad Bunny,Bad Album 2,2024-11-12,Latin,252634,81,0.51,0.67,-7.59,1,126,2739817240,Australia,0,Rimas
SP0045,SZA Track 45,SZA,SZA Album 5,2020-12-17,R&B,281457,94,0.85,0.7,-4.57,1,121,3668080160,Canada,0,Top Dawg
SP0046,Kendrick Track 46,Kendrick Lamar,Kendrick Album 8,2025-04-25,Hip-Hop,269382,99,0.8,0.63,-7.55,1,103,2104011037,Canada,1,Interscope
SP0047,Kendrick Track 47,Kendrick Lamar,Kendrick Album 5,2023-05-20,Hip-Hop,265697,60,0.73,0.55,-9.83,1,142,2394463652,Canada,1,Interscope
SP0048,Post Track 48,Post Malone,Post Album 5,2025-01-03,Pop,178090,85,0.81,0.61,-6.77,1,150,2290292341,Germany,1,Republic Records
SP0049,Metro Track 49,Metro Boomin,Metro Album 8,2023-06-23,Hip-Hop,191019,79,0.61,0.51,-10.27,0,148,3283579452,India,0,Boominati
SP0050,The Track 50,The Weeknd,The Album 5,2025-05-24,R&B,146352,72,0.63,0.64,-9.28,0,115,205488441,USA,1,XO
SP0051,Travis Track 51,Travis Scott,Travis Album 1,2025-02-28,Hip-Hop,270487,78,0.71,0.68,-10.34,0,112,3711071948,Australia,0,Epic Records
SP0052,Taylor Track 52,Taylor Swift,Taylor Album 1,2024-08-03,Pop,159774,69,0.87,0.95,-11.23,0,95,2406905421,Japan,0,Republic Records
SP0053,Metro Track 53,Metro Boomin,Metro Album 5,2024-08-15,Hip-Hop,274278,87,0.64,0.78,-6.51,0,106,2696566602,Canada,1,Boominati
SP0054,Taylor Track 54,Taylor Swift,Taylor Album 2,2020-04-06,Pop,161034,60,0.68,0.82,-7.77,0,109,1247401063,Brazil,1,Republic Records
SP0055,Taylor Track 55,Taylor Swift,Taylor Album 4,2021-05-26,Pop,231447,67,0.75,0.79,-3.82,0,89,266143439,India,1,Republic Records
SP0056,21 Track 56,21 Savage,21 Album 8,2022-08-04,Hip-Hop,199715,85,0.92,0.72,-7.56,0,156,181200764,Japan,1,Epic Records
SP0057,21 Track 57,21 Savage,21 Album 4,2022-01-03,Hip-Hop,296763,96,0.76,0.46,-5.12,1,153,182793727,India,1,Epic Records
SP0058,Metro Track 58,Metro Boomin,Metro Album 7,2025-05-06,Hip-Hop,286405,91,0.94,0.7,-8.32,1,165,459253056,India,1,Boominati
SP0059,SZA Track 59,SZA,SZA Album 7,2025-05-22,R&B,264204,62,0.7,0.62,-9.09,1,145,3553035341,USA,1,Top Dawg
SP0060,SZA Track 60,SZA,SZA Album 6,2018-04-17,R&B,283219,91,0.78,0.85,-10.17,0,116,1891694278,Australia,0,Top Dawg
SP0061,Drake Track 61,Drake,Drake Album 5,2021-12-06,Hip-Hop,264399,60,0.75,0.5,-3.07,0,139,514513251,India,1,OVO Sound
SP0062,Kendrick Track 62,Kendrick Lamar,Kendrick Album 8,2022-07-27,Hip-Hop,243789,75,0.71,0.53,-10.28,0,88,1196473561,Japan,1,Interscope
SP0063,Metro Track 63,Metro Boomin,Metro Album 5,2022-01-10,Hip-Hop,273862,97,0.95,0.71,-10.66,1,124,1437818730,Japan,1,Boominati
SP0064,Bad Track 64,Bad Bunny,Bad Album 7,2021-12-08,Latin,181226,86,0.52,0.84,-5.65,1,129,2860521812,India,1,Rimas
SP0065,Drake Track 65,Drake,Drake Album 6,2020-09-19,Hip-Hop,146309,88,0.54,0.93,-11.86,0,132,3750628617,India,0,OVO Sound
SP0066,Post Track 66,Post Malone,Post Album 7,2022-06-20,Pop,290350,65,0.88,0.9,-4.27,1,120,2702081959,Australia,0,Republic Records
SP0067,21 Track 67,21 Savage,21 Album 5,2019-04-21,Hip-Hop,179634,65,0.7,0.5,-6.3,0,136,724531298,Brazil,0,Epic Records
SP0068,Drake Track 68,Drake,Drake Album 6,2023-01-10,Hip-Hop,218262,87,0.57,0.73,-6.91,0,101,761917162,UK,1,OVO Sound
SP0069,21 Track 69,21 Savage,21 Album 3,2021-08-19,Hip-Hop,180866,89,0.79,0.69,-6.0,1,116,2920316591,India,0,Epic Records
SP0070,Post Track 70,Post Malone,Post Album 7,2023-10-10,Pop,185561,89,0.88,0.56,-8.54,1,93,1028790736,Japan,1,Republic Records
SP0071,21 Track 71,21 Savage,21 Album 1,2022-12-10,Hip-Hop,292550,85,0.62,0.75,-5.83,0,157,3210490039,Australia,1,Epic Records
SP0072,The Track 72,The Weeknd,The Album 4,2023-04-21,R&B,282762,76,0.8,0.83,-6.07,0,160,427315900,USA,1,XO
SP0073,Post Track 73,Post Malone,Post Album 3,2018-10-12,Pop,143627,78,0.65,0.67,-10.19,1,147,2165192095,Brazil,0,Republic Records
SP0074,Kendrick Track 74,Kendrick Lamar,Kendrick Album 6,2025-05-24,Hip-Hop,150191,89,0.93,0.52,-3.3,1,151,1580991899,UK,1,Interscope
SP0075,Drake Track 75,Drake,Drake Album 8,2022-09-04,Hip-Hop,216622,76,0.76,0.89,-3.54,0,166,1014257438,Australia,0,OVO Sound
SP0076,21 Track 76,21 Savage,21 Album 2,2023-10-08,Hip-Hop,286567,89,0.91,0.61,-8.33,0,85,169824875,Brazil,1,Epic Records
SP0077,Taylor Track 77,Taylor Swift,Taylor Album 3,2019-04-18,Pop,221881,89,0.67,0.95,-5.73,1,155,3198021127,India,1,Republic Records
SP0078,Taylor Track 78,Taylor Swift,Taylor Album 5,2025-10-14,Pop,128576,83,0.6,0.69,-9.87,1,92,2954974316,Germany,1,Republic Records
SP0079,Drake Track 79,Drake,Drake Album 2,2024-05-07,Hip-Hop,239201,65,0.8,0.79,-6.63,0,86,3389257051,Germany,0,OVO Sound
SP0080,Travis Track 80,Travis Scott,Travis Album 4,2021-02-27,Hip-Hop,273716,73,0.87,0.57,-5.03,0,115,3696826237,India,0,Epic Records
SP0081,Metro Track 81,Metro Boomin,Metro Album 1,2022-03-04,Hip-Hop,154551,60,0.66,0.87,-6.7,0,102,1149744790,USA,0,Boominati
SP0082,SZA Track 82,SZA,SZA Album 8,2019-12-03,R&B,237512,83,0.73,0.51,-7.47,0,164,2249615923,Brazil,1,Top Dawg
SP0083,Drake Track 83,Drake,Drake Album 7,2018-08-28,Hip-Hop,231745,66,0.72,0.93,-11.34,0,121,2622617557,India,0,OVO Sound
SP0084,Travis Track 84,Travis Scott,Travis Album 6,2022-10-21,Hip-Hop,219851,98,0.74,0.69,-6.55,0,169,501404673,Canada,1,Epic Records
SP0085,Post Track 85,Post Malone,Post Album 8,2021-07-11,Pop,224524,86,0.83,0.62,-9.19,1,127,665579180,Australia,0,Republic Records
SP0086,Taylor Track 86,Taylor Swift,Taylor Album 2,2019-02-14,Pop,217687,68,0.75,0.76,-6.95,1,165,534979361,Japan,1,Republic Records
SP0087,SZA Track 87,SZA,SZA Album 5,2018-05-20,R&B,212181,66,0.76,0.56,-6.09,0,93,1513728142,Germany,0,Top Dawg
SP0088,Kendrick Track 88,Kendrick Lamar,Kendrick Album 1,2021-07-28,Hip-Hop,279644,77,0.51,0.59,-5.14,1,124,36224160,India,0,Interscope
SP0089,21 Track 89,21 Savage,21 Album 1,2024-02-05,Hip-Hop,144053,93,0.6,0.67,-8.93,1,119,3109231080,Germany,0,Epic Records
SP0090,Drake Track 90,Drake,Drake Album 1,2020-03-25,Hip-Hop,296676,65,0.62,0.8,-7.63,1,133,1183242669,Canada,0,OVO Sound
SP0091,Bad Track 91,Bad Bunny,Bad Album 8,2024-02-10,Latin,258132,79,0.52,0.66,-6.61,0,106,1304586283,Canada,0,Rimas
SP0092,Kendrick Track 92,Kendrick Lamar,Kendrick Album 1,2022-06-04,Hip-Hop,250386,87,0.58,0.65,-5.67,1,89,1715407682,USA,1,Interscope
SP0093,Drake Track 93,Drake,Drake Album 6,2025-02-28,Hip-Hop,270931,87,0.76,0.83,-8.24,0,131,99578218,Germany,0,OVO Sound
SP0094,21 Track 94,21 Savage,21 Album 2,2025-12-12,Hip-Hop,234481,66,0.61,0.76,-7.28,1,119,3213207350,Germany,0,Epic Records
SP0095,Bad Track 95,Bad Bunny,Bad Album 2,2020-02-17,Latin,259094,92,0.59,0.86,-8.84,0,110,451542090,India,1,Rimas
SP0096,The Track 96,The Weeknd,The Album 2,2020-10-05,R&B,166437,100,0.72,0.85,-5.16,1,167,3979212295,Germany,1,XO
SP0097,Travis Track 97,Travis Scott,Travis Album 8,2025-02-16,Hip-Hop,285513,79,0.86,0.76,-8.83,0,119,1993168873,Australia,0,Epic Records
SP0098,Drake Track 98,Drake,Drake Album 2,2023-05-03,Hip-Hop,281220,98,0.73,0.7,-7.01,0,137,3914339835,Canada,1,OVO Sound
SP0099,21 Track 99,21 Savage,21 Album 1,2025-09-05,Hip-Hop,238101,66,0.86,0.89,-3.16,0,144,2785094726,India,0,Epic Records
SP0100,The Track 100,The Weeknd,The Album 3,2025-08-17,R&B,215393,83,0.91,0.66,-5.03,0,160,2790155330,Germany,0,XO
SP0101,Bad Track 101,Bad Bunny,Bad Album 7,2019-09-22,Latin,194487,76,0.83,0.8,-3.84,0,122,360048353,India,1,Rimas
SP0102,Kendrick Track 102,Kendrick Lamar,Kendrick Album 2,2024-03-20,Hip-Hop,201155,95,0.67,0.87,-4.68,0,162,2889586763,Japan,1,Interscope
SP0103,Drake Track 103,Drake,Drake Album 4,2023-05-06,Hip-Hop,209583,91,0.59,0.98,-10.61,1,92,2190510715,USA,1,OVO Sound
SP0104,21 Track 104,21 Savage,21 Album 3,2020-10-13,Hip-Hop,162532,71,0.87,0.86,-4.72,0,136,197657564,Japan,1,Epic Records
SP0105,The Track 105,The Weeknd,The Album 8,2025-10-10,R&B,181342,94,0.61,0.96,-4.94,0,127,2923305623,Australia,1,XO
SP0106,Kendrick Track 106,Kendrick Lamar,Kendrick Album 7,2024-09-17,Hip-Hop,162482,72,0.86,0.52,-9.75,1,127,2391734362,UK,0,Interscope
SP0107,Kendrick Track 107,Kendrick Lamar,Kendrick Album 8,2019-03-09,Hip-Hop,254572,69,0.87,0.5,-3.81,1,124,124547603,Japan,0,Interscope
SP0108,SZA Track 108,SZA,SZA Album 2,2023-04-13,R&B,218281,74,0.51,0.94,-4.45,1,98,600985753,USA,1,Top Dawg
SP0109,Post Track 109,Post Malone,Post Album 8,2020-12-16,Pop,281309,60,0.91,0.46,-10.06,0,150,3133449625,Japan,0,Republic Records
SP0110,Kendrick Track 110,Kendrick Lamar,Kendrick Album 1,2021-05-04,Hip-Hop,182505,86,0.79,0.78,-11.43,1,156,2312333490,USA,0,Interscope
SP0111,Travis Track 111,Travis Scott,Travis Album 6,2022-07-01,Hip-Hop,183062,96,0.69,0.8,-11.23,1,88,2269408103,USA,1,Epic Records
SP0112,Post Track 112,Post Malone,Post Album 6,2018-11-13,Pop,186492,61,0.66,0.49,-9.83,0,154,3167604063,Germany,0,Republic Records
SP0113,Drake Track 113,Drake,Drake Album 3,2023-09-11,Hip-Hop,299485,89,0.94,0.7,-10.36,0,88,3085390099,Australia,0,OVO Sound
SP0114,Kendrick Track 114,Kendrick Lamar,Kendrick Album 4,2021-01-26,Hip-Hop,130985,80,0.92,0.72,-3.1,1,112,167284993,Canada,1,Interscope
SP0115,Bad Track 115,Bad Bunny,Bad Album 5,2018-11-11,Latin,152630,83,0.7,0.66,-8.04,1,123,812373824,Australia,1,Rimas
SP0116,Bad Track 116,Bad Bunny,Bad Album 7,2022-02-24,Latin,140690,87,0.77,0.89,-7.09,1,93,353893360,Germany,1,Rimas
SP0117,Kendrick Track 117,Kendrick Lamar,Kendrick Album 7,2025-10-23,Hip-Hop,163684,88,0.66,0.47,-4.17,1,158,1878055235,Brazil,0,Interscope
SP0118,Taylor Track 118,Taylor Swift,Taylor Album 3,2024-06-17,Pop,128163,69,0.88,0.81,-8.06,0,88,1023592436,Germany,1,Republic Records
SP0119,SZA Track 119,SZA,SZA Album 8,2018-10-05,R&B,217246,83,0.7,0.49,-10.76,1,130,1360275186,Brazil,0,Top Dawg
SP0120,Taylor Track 120,Taylor Swift,Taylor Album 8,2018-12-06,Pop,255723,84,0.91,0.51,-5.03,1,107,2637992499,Brazil,1,Republic Records
SP0121,The Track 121,The Weeknd,The Album 2,2019-03-28,R&B,238500,71,0.9,0.69,-11.21,1,165,1502180259,UK,1,XO
SP0122,Kendrick Track 122,Kendrick Lamar,Kendrick Album 3,2020-12-23,Hip-Hop,214763,92,0.6,0.97,-4.87,0,143,122889043,Germany,1,Interscope
SP0123,Post Track 123,Post Malone,Post Album 2,2020-10-03,Pop,201078,85,0.95,0.83,-7.27,1,153,326756902,India,1,Republic Records
SP0124,Taylor Track 124,Taylor Swift,Taylor Album 6,2025-08-22,Pop,153642,95,0.79,0.55,-3.3,1,144,3921479401,USA,0,Republic Records
SP0125,Metro Track 125,Metro Boomin,Metro Album 3,2020-05-06,Hip-Hop,204583,74,0.66,0.95,-3.95,0,112,853110305,Brazil,0,Boominati
SP0126,Kendrick Track 126,Kendrick Lamar,Kendrick Album 3,2019-09-21,Hip-Hop,275139,97,0.57,0.8,-5.51,1,152,186928180,USA,0,Interscope
SP0127,Drake Track 127,Drake,Drake Album 7,2022-11-07,Hip-Hop,282033,100,0.51,0.92,-7.09,1,141,1061742593,Japan,1,OVO Sound
SP0128,Post Track 128,Post Malone,Post Album 3,2019-12-02,Pop,235239,86,0.72,0.56,-6.54,1,120,3163363918,Germany,1,Republic Records
SP0129,Travis Track 129,Travis Scott,Travis Album 2,2023-09-18,Hip-Hop,203654,75,0.71,0.59,-9.77,0,86,1256451043,Japan,1,Epic Records
SP0130,The Track 130,The Weeknd,The Album 6,2020-06-19,R&B,169763,70,0.72,0.72,-7.51,1,143,109541460,UK,1,XO
SP0131,Metro Track 131,Metro Boomin,Metro Album 6,2025-04-07,Hip-Hop,132755,63,0.63,0.77,-4.41,1,116,2315069227,USA,0,Boominati
SP0132,SZA Track 132,SZA,SZA Album 6,2020-05-24,R&B,225710,83,0.52,0.48,-6.94,1,150,1249534867,UK,1,Top Dawg
SP0133,Metro Track 133,Metro Boomin,Metro Album 2,2025-09-09,Hip-Hop,153728,66,0.68,0.87,-8.95,1,98,864947088,Japan,0,Boominati
SP0134,Drake Track 134,Drake,Drake Album 6,2018-03-23,Hip-Hop,244189,93,0.71,0.77,-7.36,1,158,1378076065,India,1,OVO Sound
SP0135,21 Track 135,21 Savage,21 Album 8,2022-10-11,Hip-Hop,267567,79,0.71,0.46,-9.02,0,133,2516981604,Brazil,0,Epic Records
SP0136,21 Track 136,21 Savage,21 Album 4,2025-05-21,Hip-Hop,133462,97,0.72,0.73,-5.51,1,98,3539008370,Canada,0,Epic Records
SP0137,21 Track 137,21 Savage,21 Album 8,2019-04-01,Hip-Hop,202232,86,0.57,0.82,-8.31,1,87,3041281545,India,0,Epic Records
SP0138,Metro Track 138,Metro Boomin,Metro Album 7,2023-11-16,Hip-Hop,202248,71,0.71,0.73,-7.08,1,158,2089537716,Canada,0,Boominati
SP0139,Kendrick Track 139,Kendrick Lamar,Kendrick Album 5,2022-04-10,Hip-Hop,174336,91,0.64,0.63,-3.6,1,116,533445293,Japan,1,Interscope
SP0140,Bad Track 140,Bad Bunny,Bad Album 5,2020-05-02,Latin,140717,82,0.92,0.8,-5.27,0,105,3566025499,Brazil,1,Rimas
SP0141,Travis Track 141,Travis Scott,Travis Album 4,2019-10-24,Hip-Hop,183558,63,0.8,0.73,-6.26,0,92,1785115854,Germany,1,Epic Records
SP0142,Taylor Track 142,Taylor Swift,Taylor Album 3,2020-01-18,Pop,226668,90,0.71,0.56,-3.32,1,116,2784110439,USA,0,Republic Records
SP0143,21 Track 143,21 Savage,21 Album 1,2021-09-24,Hip-Hop,165892,86,0.9,0.54,-3.72,1,143,810202342,Brazil,0,Epic Records
SP0144,Drake Track 144,Drake,Drake Album 2,2022-10-20,Hip-Hop,207829,78,0.7,0.79,-7.28,0,144,2020133918,Brazil,0,OVO Sound
SP0145,Taylor Track 145,Taylor Swift,Taylor Album 8,2023-03-24,Pop,289944,76,0.82,0.46,-8.97,1,152,2906530837,Canada,0,Republic Records
SP0146,21 Track 146,21 Savage,21 Album 6,2024-07-17,Hip-Hop,142737,85,0.8,0.55,-10.73,1,111,39335155,Brazil,1,Epic Records
SP0147,The Track 147,The Weeknd,The Album 5,2025-05-11,R&B,272688,96,0.51,0.8,-5.77,0,165,517771858,Australia,1,XO
SP0148,Travis Track 148,Travis Scott,Travis Album 5,2024-11-17,Hip-Hop,150779,100,0.91,0.61,-6.47,0,97,2063775623,India,1,Epic Records
SP0149,21 Track 149,21 Savage,21 Album 8,2023-07-23,Hip-Hop,260907,73,0.84,0.81,-6.64,0,147,1928767949,Germany,0,Epic Records
SP0150,21 Track 150,21 Savage,21 Album 4,2019-01-27,Hip-Hop,270130,94,0.57,0.62,-7.32,0,167,892192670,Australia,0,Epic Records
SP0151,Metro Track 151,Metro Boomin,Metro Album 3,2025-01-15,Hip-Hop,254544,86,0.71,0.48,-7.84,1,82,1710586760,Brazil,0,Boominati
SP0152,The Track 152,The Weeknd,The Album 6,2019-01-14,R&B,136714,94,0.95,0.95,-11.38,1,84,1243045201,Japan,0,XO
SP0153,Travis Track 153,Travis Scott,Travis Album 8,2024-06-13,Hip-Hop,218958,84,0.54,0.96,-4.13,0,163,3704902744,Germany,0,Epic Records
SP0154,Travis Track 154,Travis Scott,Travis Album 4,2024-09-05,Hip-Hop,120910,61,0.94,0.7,-5.53,1,148,1638980027,Canada,0,Epic Records
SP0155,Post Track 155,Post Malone,Post Album 4,2023-03-09,Pop,149581,62,0.86,0.67,-5.11,0,110,895113834,UK,0,Republic Records
SP0156,21 Track 156,21 Savage,21 Album 1,2018-08-20,Hip-Hop,184155,62,0.68,0.57,-10.04,0,97,2174216179,Brazil,0,Epic Records
SP0157,21 Track 157,21 Savage,21 Album 6,2023-10-20,Hip-Hop,182102,79,0.89,0.97,-7.31,1,118,1191777110,USA,0,Epic Records
SP0158,SZA Track 158,SZA,SZA Album 7,2025-01-12,R&B,257484,80,0.81,0.67,-9.3,0,148,2043747850,Canada,0,Top Dawg
SP0159,Kendrick Track 159,Kendrick Lamar,Kendrick Album 7,2020-08-02,Hip-Hop,229185,95,0.74,0.66,-9.71,1,162,349604915,Australia,1,Interscope
SP0160,Taylor Track 160,Taylor Swift,Taylor Album 7,2021-01-09,Pop,296599,98,0.77,0.91,-10.31,0,141,907171779,Germany,1,Republic Records
SP0161,Drake Track 161,Drake,Drake Album 2,2021-04-24,Hip-Hop,245546,75,0.81,0.82,-8.43,0,150,1391325941,Brazil,1,OVO Sound
SP0162,Post Track 162,Post Malone,Post Album 6,2023-05-09,Pop,254431,91,0.71,0.88,-5.5,1,106,1602165525,Germany,1,Republic Records
SP0163,Drake Track 163,Drake,Drake Album 1,2021-12-05,Hip-Hop,188360,95,0.92,0.76,-8.24,0,105,1426760621,Canada,1,OVO Sound
SP0164,21 Track 164,21 Savage,21 Album 6,2021-08-18,Hip-Hop,187456,91,0.93,0.79,-7.58,0,125,736990714,India,1,Epic Records
SP0165,Travis Track 165,Travis Scott,Travis Album 2,2018-09-02,Hip-Hop,295168,63,0.84,0.67,-4.42,0,88,3047270171,India,0,Epic Records
SP0166,The Track 166,The Weeknd,The Album 8,2025-06-02,R&B,292827,91,0.51,0.73,-8.3,0,147,3111794134,Brazil,1,XO
SP0167,Drake Track 167,Drake,Drake Album 2,2024-03-04,Hip-Hop,257464,69,0.61,0.78,-9.73,1,114,3424225544,Japan,0,OVO Sound
SP0168,Bad Track 168,Bad Bunny,Bad Album 4,2024-08-19,Latin,179207,79,0.81,0.9,-6.12,0,91,1750657035,Japan,1,Rimas
SP0169,Metro Track 169,Metro Boomin,Metro Album 1,2025-01-21,Hip-Hop,164927,65,0.72,0.68,-4.94,0,147,3957728706,USA,0,Boominati
SP0170,The Track 170,The Weeknd,The Album 2,2025-05-02,R&B,299418,77,0.9,0.75,-11.7,1,82,899737338,India,1,XO
SP0171,Taylor Track 171,Taylor Swift,Taylor Album 4,2022-03-19,Pop,268555,84,0.8,0.74,-8.55,0,168,3120258855,UK,1,Republic Records
SP0172,Drake Track 172,Drake,Drake Album 2,2019-07-08,Hip-Hop,209284,98,0.85,0.96,-8.43,1,83,2733537339,Brazil,1,OVO Sound
SP0173,Post Track 173,Post Malone,Post Album 7,2021-06-18,Pop,233206,71,0.81,0.8,-11.23,1,111,3072777850,UK,0,Republic Records
SP0174,Kendrick Track 174,Kendrick Lamar,Kendrick Album 3,2020-07-23,Hip-Hop,222137,80,0.66,0.5,-3.51,1,126,3279958296,Brazil,0,Interscope
SP0175,Travis Track 175,Travis Scott,Travis Album 8,2019-03-14,Hip-Hop,266010,95,0.73,0.5,-11.19,0,156,2578578538,Germany,1,Epic Records
